Loading checkpoint: /extra/ucibdl1/jcwill/ptp/checkpoints/vicuna/last.ckpt
Loading weights:   0%|          | 0/291 [00:00<?, ?it/s]Loading weights: 100%|██████████| 291/291 [00:00<00:00, 26102.84it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Applying LoRA adapters
Loading hist_base from cache: /extra/ucibdl1/jcwill/ptp/checkpoints/vicuna/correct_count_hist.pt
k=50 example=81 (1/100) n_calls=70 sum=300
k=50 example=82 (2/100) n_calls=23 sum=157
k=50 example=83 (3/100) n_calls=63 sum=300
k=50 example=84 (4/100) n_calls=68 sum=304
k=50 example=85 (5/100) n_calls=69 sum=256
k=50 example=86 (6/100) n_calls=50 sum=168
k=50 example=87 (7/100) n_calls=77 sum=303
k=50 example=88 (8/100) n_calls=34 sum=138
k=50 example=89 (9/100) n_calls=27 sum=129
k=50 example=90 (10/100) n_calls=15 sum=87
k=50 example=91 (11/100) n_calls=62 sum=245
k=50 example=92 (12/100) n_calls=57 sum=295
k=50 example=93 (13/100) n_calls=17 sum=92
k=50 example=94 (14/100) n_calls=63 sum=303
k=50 example=95 (15/100) n_calls=19 sum=82
k=50 example=96 (16/100) n_calls=43 sum=199
k=50 example=97 (17/100) n_calls=59 sum=302
k=50 example=98 (18/100) n_calls=46 sum=172
k=50 example=99 (19/100) n_calls=34 sum=288
k=50 example=100 (20/100) n_calls=26 sum=110
k=50 example=101 (21/100) n_calls=8 sum=43
k=50 example=102 (22/100) n_calls=12 sum=65
k=50 example=103 (23/100) n_calls=22 sum=88
k=50 example=104 (24/100) n_calls=7 sum=33
k=50 example=105 (25/100) n_calls=2 sum=13
k=50 example=106 (26/100) n_calls=12 sum=73
k=50 example=107 (27/100) n_calls=2 sum=12
k=50 example=108 (28/100) n_calls=14 sum=58
k=50 example=109 (29/100) n_calls=58 sum=293
k=50 example=110 (30/100) n_calls=25 sum=93
k=50 example=111 (31/100) n_calls=28 sum=187
k=50 example=112 (32/100) n_calls=12 sum=92
k=50 example=113 (33/100) n_calls=44 sum=214
k=50 example=114 (34/100) n_calls=31 sum=191
k=50 example=115 (35/100) n_calls=4 sum=18
k=50 example=116 (36/100) n_calls=46 sum=302
k=50 example=117 (37/100) n_calls=29 sum=200
k=50 example=118 (38/100) n_calls=46 sum=300
k=50 example=119 (39/100) n_calls=20 sum=146
k=50 example=120 (40/100) n_calls=15 sum=127
k=50 example=121 (41/100) n_calls=42 sum=303
k=50 example=122 (42/100) n_calls=33 sum=287
k=50 example=123 (43/100) n_calls=40 sum=294
k=50 example=124 (44/100) n_calls=40 sum=311
k=50 example=125 (45/100) n_calls=49 sum=303
k=50 example=126 (46/100) n_calls=45 sum=305
k=50 example=127 (47/100) n_calls=35 sum=250
k=50 example=128 (48/100) n_calls=54 sum=297
k=50 example=129 (49/100) n_calls=52 sum=302
k=50 example=130 (50/100) n_calls=43 sum=307
k=50 example=131 (51/100) n_calls=16 sum=182
k=50 example=132 (52/100) n_calls=3 sum=18
k=50 example=133 (53/100) n_calls=11 sum=122
k=50 example=134 (54/100) n_calls=6 sum=32
k=50 example=135 (55/100) n_calls=9 sum=81
k=50 example=136 (56/100) n_calls=3 sum=15
k=50 example=137 (57/100) n_calls=9 sum=75
k=50 example=138 (58/100) n_calls=10 sum=63
k=50 example=139 (59/100) n_calls=19 sum=150
k=50 example=140 (60/100) n_calls=23 sum=303
k=50 example=141 (61/100) n_calls=55 sum=301
k=50 example=142 (62/100) n_calls=65 sum=300
k=50 example=143 (63/100) n_calls=55 sum=261
k=50 example=144 (64/100) n_calls=45 sum=209
k=50 example=145 (65/100) n_calls=69 sum=300
k=50 example=146 (66/100) n_calls=47 sum=300
k=50 example=147 (67/100) n_calls=35 sum=144
k=50 example=148 (68/100) n_calls=53 sum=302
k=50 example=149 (69/100) n_calls=47 sum=310
k=50 example=150 (70/100) n_calls=54 sum=246
k=50 example=151 (71/100) n_calls=64 sum=304
k=50 example=152 (72/100) n_calls=50 sum=253
k=50 example=153 (73/100) n_calls=63 sum=302
k=50 example=154 (74/100) n_calls=49 sum=304
k=50 example=155 (75/100) n_calls=53 sum=226
k=50 example=156 (76/100) n_calls=63 sum=301
k=50 example=157 (77/100) n_calls=54 sum=284
k=50 example=158 (78/100) n_calls=60 sum=303
k=50 example=159 (79/100) n_calls=66 sum=302
k=50 example=160 (80/100) n_calls=60 sum=302
k=50 example=161 (81/100) n_calls=5 sum=20
k=50 example=162 (82/100) n_calls=9 sum=34
k=50 example=163 (83/100) n_calls=9 sum=39
k=50 example=164 (84/100) n_calls=3 sum=12
k=50 example=165 (85/100) n_calls=3 sum=15
k=50 example=166 (86/100) n_calls=11 sum=54
k=50 example=167 (87/100) n_calls=5 sum=27
k=50 example=168 (88/100) n_calls=4 sum=24
k=50 example=169 (89/100) n_calls=8 sum=25
k=50 example=170 (90/100) n_calls=6 sum=21
k=50 example=171 (91/100) n_calls=7 sum=36
k=50 example=172 (92/100) n_calls=8 sum=22
k=50 example=173 (93/100) n_calls=10 sum=41
k=50 example=174 (94/100) n_calls=3 sum=10
k=50 example=175 (95/100) n_calls=3 sum=13
k=50 example=176 (96/100) n_calls=7 sum=24
k=50 example=177 (97/100) n_calls=7 sum=30
k=50 example=178 (98/100) n_calls=8 sum=42
k=50 example=179 (99/100) n_calls=11 sum=60
k=50 example=180 (100/100) n_calls=4 sum=19
DONE: collected 3139 per-call samples for k=50
